,sector,activity
0,01T02,V01
1,01T02,V02
2,03,V03
3,05T06,V05
4,05T06,V06
5,07T08,V07
6,07T08,V08
7,09,V09
8,10T12,V10_12
9,13T15,V13_15
10,16,V16
11,17T18,V17
12,17T18,V18
13,19,V19
14,20,V20
15,21,V21
16,22,V22
17,23,V23
18,24,V24
19,25,V25
20,26,V26
21,27,V27
22,28,V28
23,29,V29
24,30,V30
25,31T33,V31_33
26,35,VD
27,36T39,VE
28,41T43,VF
29,45T47,VG
30,49,V49
31,50,V50
32,51,V51
33,52,V52
34,53,V53
35,55T56,VI
36,58T60,V58_60
37,61,V61
38,62T63,V62_63
39,64T66,VK
40,68,VL
41,69T75,VM
42,77T82,VN
43,84,V0
44,85,VP
45,86T88,VQ
46,90T93,VR
47,94T96,VS
