oecd_code,bea_code,isic,naics,scores
01T02,110C,"['01', '02']","['111', '112']",0.7362637362637363
03,113F,['03'],"['113', '114', '115']",0.1875
05T06,2110,"['05', '06']",['211'],0.5714285714285714
07T08,2120,"['07', '08']",['212'],0.8666666666666667
09,2130,['09'],['213'],0.5555555555555556
10T12,311A,"['10', '12']","['311', '312']",0.8554216867469879
13T15,313T,"['13', '15']","['313', '314']",0.4883720930232558
13T15,315A,"['13', '15']","['315', '316']",0.12
16,3210,['16'],['321'],0.6875
17T18,3220,"['17', '18']",['322'],0.5555555555555556
17T18,3230,"['17', '18']",['323'],0.14705882352941177
19,3240,['19'],['324'],0.4444444444444444
20,3250,['20'],['325'],0.6909090909090909
21,3250,['21'],['325'],0.1
22,3260,['22'],['326'],0.45
23,3270,['23'],['327'],0.7058823529411765
24,3310,['24'],['331'],0.5142857142857142
25,3320,['25'],['332'],0.4
26,3340,['26'],['334'],0.7714285714285715
27,3350,['27'],['335'],0.6052631578947368
28,3330,['28'],['333'],0.5615384615384615
29,336M,['29'],"['3361', '3362', '3363']",0.3953488372093023
30,336O,['30'],"['3364', '3365', '3366', '3367', '3368', '3369']",0.3888888888888889
31T33,338A,"['31', '33']",['339'],0.0
31T33,3370,"['31', '33']",['337'],0.21568627450980393
35,2200,['35'],['22'],0.75
36T39,5620,"['36', '39']",['562'],0.07692307692307693
41T43,2300,"['41', '43']",['23'],0.6428571428571429
45T47,4200,"['45', '47']",['42'],0.07623318385650224
45T47,44RT,"['45', '47']","['44', '45']",0.7022900763358778
49,4850,['49'],['485'],0.3793103448275862
49,4860,['49'],['486'],0.13793103448275862
49,4820,['49'],['482'],0.10344827586206896
49,4840,['49'],['484'],0.20689655172413793
50,4830,['50'],['483'],0.75
51,4810,['51'],['481'],0.7142857142857143
52,4930,['52'],['493'],0.16
52,487S,['52'],"['487', '488', '492']",0.47619047619047616
55T56,7210,"['55', '56']",['721'],0.42105263157894735
55T56,7220,"['55', '56']",['722'],0.5555555555555556
58T60,5110,"['58', '60']",['511'],0.42105263157894735
58T60,5120,"['58', '60']",['512'],0.0
58T60,5130,"['58', '60']","['515', '517']",0.13333333333333333
62T63,5140,"['62', '63']","['518', '519']",0.21052631578947367
64T66,5210,"['64', '66']",['521'],0.023809523809523808
64T66,5220,"['64', '66']",['522'],0.40476190476190477
64T66,5230,"['64', '66']",['523'],0.27906976744186046
64T66,5240,"['64', '66']",['524'],0.08333333333333333
64T66,5250,"['64', '66']",['525'],0.11627906976744186
68,5310,['68'],['531'],0.9
68,5320,['68'],"['532', '533']",0.0
69T75,5411,"['69', '75']",['5411'],0.36363636363636365
69T75,5415,"['69', '75']",['5415'],0.0
69T75,5412,"['69', '75']","['5412', '5413', '5414', '5416', '5417', '5418', '5419']",0.12
69T75,5500,"['69', '75']",['55'],0.0
77T82,5610,"['77', '82']",['561'],0.24193548387096775
85,6100,['85'],['61'],1.0
86T88,6210,"['86', '88']",['621'],0.6578947368421053
86T88,622H,"['86', '88']",['622'],0.07894736842105263
86T88,6230,"['86', '88']",['623'],0.0
86T88,6240,"['86', '88']",['624'],0.23684210526315788
90T93,711A,"['90', '93']","['711', '712']",0.45714285714285713
90T93,7130,"['90', '93']",['713'],0.3225806451612903
94T96,8100,"['94', '96']",['81'],0.35064935064935066
