DATAFLOW,LAST UPDATE,freq,unit,stk_flow,induse,prod_na,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,AT,2010,67876.94,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,AT,2011,72197.66,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,AT,2012,70699.33,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,AT,2013,69111.15,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,AT,2014,71841.22,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,AT,2015,74335.02,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,AT,2016,78379.76,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,AT,2017,80415.59,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,AT,2019,82661.3,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,BE,2010,76720.92,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,BE,2015,89402.76,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,BG,2010,13812.79,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,CY,2010,5177.1,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,CY,2011,5326.76,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,CY,2012,5086.9,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,CY,2013,4921.08,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,CY,2014,4690.85,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,CY,2015,5103.05,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,CY,2016,5751.93,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,CY,2017,6110.76,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,CY,2018,6508.01,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,CY,2019,7024.3,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,CZ,2000,20336.25,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,CZ,2005,33785.27,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,CZ,2010,46321.23,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,CZ,2013,42881.37,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,CZ,2015,50289.97,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,CZ,2018,55900.73,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,CZ,2020,53160.01,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,DE,2010,588312,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,DE,2011,623644,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,DE,2012,602058,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,DE,2013,613793,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,DE,2014,641293,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,DE,2015,626034,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,DE,2016,643644,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,DE,2017,671734,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,DE,2018,652926,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,DE,2019,636557,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,EE,2010,3632.57,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,EE,2015,4722.1,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,EL,2010,81004.5,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,EL,2015,60830.66,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,ES,2010,263854,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,ES,2015,264132,
ESTAT:NAIO_10_CP1700(1.0),14/02/23 23:00:00,A,MIO_EUR,TOTAL,TOTAL,B2A3N,ES,2016,323171,
