DATAFLOW,LAST UPDATE,freq,unit,direct,na_item,sector,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,AT,2000,19271,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,AT,2001,19727,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,AT,2002,20500,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,AT,2003,21065,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,AT,2004,22312,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,AT,2005,23619,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,AT,2006,24472,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,AT,2007,25654,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,AT,2008,26983,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,AT,2009,26281,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,AT,2010,27437,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,AT,2011,28781,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,AT,2012,29486,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,AT,2013,30035,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,AT,2014,30643,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,AT,2015,31055,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,AT,2016,32494,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,AT,2017,34293,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,AT,2018,35478,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,AT,2019,36016,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,AT,2020,35688,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,AT,2021,36601,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,BE,2000,27149,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,BE,2001,27764,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,BE,2002,26442,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,BE,2003,26443,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,BE,2004,26367,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,BE,2005,28235,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,BE,2006,29946,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,BE,2007,31223,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,BE,2008,30780,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,BE,2009,29029,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,BE,2010,30322,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,BE,2011,31550,
