DATAFLOW,LAST UPDATE,freq,int_rt,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:IRT_LT_MCBY_A(1.0),11/03/23 11:00:00,A,MCBY,AT,2000,5.56000,
ESTAT:IRT_LT_MCBY_A(1.0),11/03/23 11:00:00,A,MCBY,AT,2001,5.08000,
ESTAT:IRT_LT_MCBY_A(1.0),11/03/23 11:00:00,A,MCBY,AT,2002,4.96000,
ESTAT:IRT_LT_MCBY_A(1.0),11/03/23 11:00:00,A,MCBY,AT,2003,4.14000,
ESTAT:IRT_LT_MCBY_A(1.0),11/03/23 11:00:00,A,MCBY,AT,2004,4.13000,
ESTAT:IRT_LT_MCBY_A(1.0),11/03/23 11:00:00,A,MCBY,AT,2005,3.39000,
ESTAT:IRT_LT_MCBY_A(1.0),11/03/23 11:00:00,A,MCBY,AT,2006,3.80000,
ESTAT:IRT_LT_MCBY_A(1.0),11/03/23 11:00:00,A,MCBY,AT,2007,4.30000,
ESTAT:IRT_LT_MCBY_A(1.0),11/03/23 11:00:00,A,MCBY,AT,2008,4.36000,
ESTAT:IRT_LT_MCBY_A(1.0),11/03/23 11:00:00,A,MCBY,AT,2009,3.94000,
ESTAT:IRT_LT_MCBY_A(1.0),11/03/23 11:00:00,A,MCBY,AT,2010,3.23000,
ESTAT:IRT_LT_MCBY_A(1.0),11/03/23 11:00:00,A,MCBY,AT,2011,3.32000,
ESTAT:IRT_LT_MCBY_A(1.0),11/03/23 11:00:00,A,MCBY,AT,2012,2.37000,
ESTAT:IRT_LT_MCBY_A(1.0),11/03/23 11:00:00,A,MCBY,AT,2013,2.01000,
ESTAT:IRT_LT_MCBY_A(1.0),11/03/23 11:00:00,A,MCBY,AT,2014,1.49000,
ESTAT:IRT_LT_MCBY_A(1.0),11/03/23 11:00:00,A,MCBY,AT,2015,0.75000,
ESTAT:IRT_LT_MCBY_A(1.0),11/03/23 11:00:00,A,MCBY,AT,2016,0.38000,
ESTAT:IRT_LT_MCBY_A(1.0),11/03/23 11:00:00,A,MCBY,AT,2017,0.58000,
ESTAT:IRT_LT_MCBY_A(1.0),11/03/23 11:00:00,A,MCBY,AT,2018,0.69000,
ESTAT:IRT_LT_MCBY_A(1.0),11/03/23 11:00:00,A,MCBY,AT,2019,0.06000,
ESTAT:IRT_LT_MCBY_A(1.0),11/03/23 11:00:00,A,MCBY,AT,2020,-0.22000,
ESTAT:IRT_LT_MCBY_A(1.0),11/03/23 11:00:00,A,MCBY,AT,2021,-0.09000,
ESTAT:IRT_LT_MCBY_A(1.0),11/03/23 11:00:00,A,MCBY,AT,2022,1.71000,
ESTAT:IRT_LT_MCBY_A(1.0),11/03/23 11:00:00,A,MCBY,BE,2000,5.59000,
