DATAFLOW,LAST UPDATE,freq,int_rt,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:IRT_ST_A(1.0),06/03/23 11:00:00,A,IRT_DTD,BG,2000,2.90,
ESTAT:IRT_ST_A(1.0),06/03/23 11:00:00,A,IRT_DTD,BG,2001,3.64,
ESTAT:IRT_ST_A(1.0),06/03/23 11:00:00,A,IRT_DTD,BG,2002,2.39,
ESTAT:IRT_ST_A(1.0),06/03/23 11:00:00,A,IRT_DTD,BG,2003,1.96,
ESTAT:IRT_ST_A(1.0),06/03/23 11:00:00,A,IRT_DTD,BG,2004,1.92,
ESTAT:IRT_ST_A(1.0),06/03/23 11:00:00,A,IRT_DTD,BG,2005,2.03,
ESTAT:IRT_ST_A(1.0),06/03/23 11:00:00,A,IRT_DTD,BG,2006,2.79,
ESTAT:IRT_ST_A(1.0),06/03/23 11:00:00,A,IRT_DTD,BG,2007,4.03,
ESTAT:IRT_ST_A(1.0),06/03/23 11:00:00,A,IRT_DTD,BG,2008,5.16,
ESTAT:IRT_ST_A(1.0),06/03/23 11:00:00,A,IRT_DTD,BG,2009,2.00,
ESTAT:IRT_ST_A(1.0),06/03/23 11:00:00,A,IRT_DTD,BG,2010,0.18,
ESTAT:IRT_ST_A(1.0),06/03/23 11:00:00,A,IRT_DTD,BG,2011,0.20,
ESTAT:IRT_ST_A(1.0),06/03/23 11:00:00,A,IRT_DTD,BG,2012,0.10,
ESTAT:IRT_ST_A(1.0),06/03/23 11:00:00,A,IRT_DTD,BG,2013,0.02,
ESTAT:IRT_ST_A(1.0),06/03/23 11:00:00,A,IRT_DTD,BG,2014,0.04,
ESTAT:IRT_ST_A(1.0),06/03/23 11:00:00,A,IRT_DTD,CZ,2000,5.25,
ESTAT:IRT_ST_A(1.0),06/03/23 11:00:00,A,IRT_DTD,CZ,2001,4.98,
ESTAT:IRT_ST_A(1.0),06/03/23 11:00:00,A,IRT_DTD,CZ,2002,3.57,
ESTAT:IRT_ST_A(1.0),06/03/23 11:00:00,A,IRT_DTD,CZ,2003,2.28,
ESTAT:IRT_ST_A(1.0),06/03/23 11:00:00,A,IRT_DTD,CZ,2004,2.19,
ESTAT:IRT_ST_A(1.0),06/03/23 11:00:00,A,IRT_DTD,CZ,2005,1.95,
ESTAT:IRT_ST_A(1.0),06/03/23 11:00:00,A,IRT_DTD,CZ,2006,2.10,
ESTAT:IRT_ST_A(1.0),06/03/23 11:00:00,A,IRT_DTD,CZ,2007,2.77,
