"ITEM","Item","BANK","Bank","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"BC32TE","32. Tier 1 Capital","ALL","All banks","AUT","Austria","2000","2000",24652,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","AUT","Austria","2001","2001",27440,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","AUT","Austria","2002","2002",26860,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","AUT","Austria","2003","2003",29705,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","AUT","Austria","2004","2004",32102,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","AUT","Austria","2005","2005",35003,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","AUT","Austria","2006","2006",41801,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","AUT","Austria","2007","2007",58331,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","AUT","Austria","2008","2008",66871,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","BEL","Belgium","2000","2000",29144.618,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","BEL","Belgium","2001","2001",30625.253,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","BEL","Belgium","2002","2002",32749.599,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","BEL","Belgium","2003","2003",31496.408,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","BEL","Belgium","2004","2004",32470.43,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","BEL","Belgium","2005","2005",31224.876,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","BEL","Belgium","2006","2006",38952.488,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","BEL","Belgium","2007","2007",61034.205,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","BEL","Belgium","2008","2008",54459.059,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","BEL","Belgium","2009","2009",53119.585,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","CZE","Czech Republic","2000","2000",109961.8,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","CZE","Czech Republic","2001","2001",117660.66,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","CZE","Czech Republic","2002","2002",127433.949,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","CZE","Czech Republic","2003","2003",146056.858,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","CZE","Czech Republic","2004","2004",141327.734,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","CZE","Czech Republic","2005","2005",159844.593,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","CZE","Czech Republic","2006","2006",171667.712,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","CZE","Czech Republic","2007","2007",198009.809,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","CZE","Czech Republic","2008","2008",219858.979,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","CZE","Czech Republic","2009","2009",237552.78,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","IRL","Ireland","2000","2000",23137.9,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","IRL","Ireland","2001","2001",27930.6,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","IRL","Ireland","2002","2002",29429,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","IRL","Ireland","2003","2003",30307,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","IRL","Ireland","2004","2004",37694,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","IRL","Ireland","2005","2005",46773.77,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","IRL","Ireland","2006","2006",58704.303,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","IRL","Ireland","2007","2007",65682.206,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","IRL","Ireland","2008","2008",66155.313,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","IRL","Ireland","2009","2009",67963.564,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","ITA","Italy","2000","2000",124143,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","ITA","Italy","2001","2001",131163,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","ITA","Italy","2002","2002",138258,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","ITA","Italy","2003","2003",149329,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","ITA","Italy","2004","2004",159748,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","ITA","Italy","2005","2005",186396,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","ITA","Italy","2006","2006",190595,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","ITA","Italy","2007","2007",224707,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","ITA","Italy","2008","2008",145189,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","ITA","Italy","2009","2009",162064,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","KOR","Korea","2000","2000",24300000,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","KOR","Korea","2001","2001",30980000,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","KOR","Korea","2002","2002",34927000,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","KOR","Korea","2003","2003",36616000,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","KOR","Korea","2004","2004",47221235.451,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","KOR","Korea","2005","2005",61479886.589,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","KOR","Korea","2006","2006",72425870.375,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","KOR","Korea","2007","2007",83847391.231,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","KOR","Korea","2008","2008",93594304.096,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","KOR","Korea","2009","2009",111842906.057,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","MEX","Mexico","2000","2000",129763.919,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","MEX","Mexico","2001","2001",132098.111,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","MEX","Mexico","2002","2002",177042.234,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","MEX","Mexico","2003","2003",195121.152,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","MEX","Mexico","2004","2004",220427.808,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","MEX","Mexico","2005","2005",285523.378,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","MEX","Mexico","2006","2006",364296.424,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","MEX","Mexico","2007","2007",441428.025,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","MEX","Mexico","2008","2008",463738.956,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","MEX","Mexico","2009","2009",522403.975,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","NLD","Netherlands","2000","2000",65019.879,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","NLD","Netherlands","2001","2001",68443.487,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","NLD","Netherlands","2002","2002",69835.458,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","NLD","Netherlands","2003","2003",74540.573,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","NLD","Netherlands","2004","2004",83959.04,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","NLD","Netherlands","2005","2005",97419.732,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","NLD","Netherlands","2006","2006",98117,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","NLD","Netherlands","2007","2007",127898,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","NLD","Netherlands","2008","2008",109319,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","NLD","Netherlands","2009","2009",119442,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","NZL","New Zealand","2000","2000",5918.83,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","NZL","New Zealand","2001","2001",6284.27,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","NZL","New Zealand","2002","2002",7474.325,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","NZL","New Zealand","2003","2003",7473.703,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","NZL","New Zealand","2004","2004",9102.801,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","NZL","New Zealand","2005","2005",10828.015,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","NZL","New Zealand","2006","2006",13256.866,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","NZL","New Zealand","2007","2007",14167.133,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","NZL","New Zealand","2008","2008",16985.136,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","NZL","New Zealand","2009","2009",18197.646,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","NOR","Norway","2000","2000",85001,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","NOR","Norway","2001","2001",93697,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","NOR","Norway","2002","2002",95592,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","NOR","Norway","2003","2003",101535,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","NOR","Norway","2004","2004",109865,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","NOR","Norway","2005","2005",127707,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","NOR","Norway","2006","2006",141948,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","NOR","Norway","2007","2007",48265,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","NOR","Norway","2008","2008",171315,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","NOR","Norway","2009","2009",188488,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","POL","Poland","2000","2000",33606,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","POL","Poland","2001","2001",39699,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","POL","Poland","2002","2002",44414,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","POL","Poland","2003","2003",46003,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","POL","Poland","2004","2004",48681.6,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","POL","Poland","2005","2005",51549.8,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","POL","Poland","2006","2006",55943.078,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","POL","Poland","2007","2007",64962.388,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","POL","Poland","2008","2008",74358.397,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","POL","Poland","2009","2009",88726.01,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","SVK","Slovak Republic","2000","2000",2332.051,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","SVK","Slovak Republic","2001","2001",2468.05,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","SVK","Slovak Republic","2002","2002",2093.739,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","SVK","Slovak Republic","2003","2003",2615.211,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","SVK","Slovak Republic","2004","2004",2708.454,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","SVK","Slovak Republic","2005","2005",2757.795,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","SVK","Slovak Republic","2006","2006",2871.232,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","SVK","Slovak Republic","2007","2007",3248.61,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","SVK","Slovak Republic","2008","2008",3708.842,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","SVK","Slovak Republic","2009","2009",4075.202,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","ESP","Spain","2000","2000",72308,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","ESP","Spain","2001","2001",78653,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","ESP","Spain","2002","2002",78745,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","ESP","Spain","2003","2003",85188,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","ESP","Spain","2004","2004",99959,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","ESP","Spain","2005","2005",120899,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","ESP","Spain","2006","2006",136164,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","ESP","Spain","2007","2007",159213,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","ESP","Spain","2008","2008",172220,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","ESP","Spain","2009","2009",199718,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","SWE","Sweden","2000","2000",141009,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","SWE","Sweden","2001","2001",152938,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","SWE","Sweden","2002","2002",148541,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","SWE","Sweden","2003","2003",160984,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","SWE","Sweden","2004","2004",232599,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","SWE","Sweden","2005","2005",236495,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","SWE","Sweden","2006","2006",282258,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","SWE","Sweden","2007","2007",305300,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","SWE","Sweden","2008","2008",366915,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","SWE","Sweden","2009","2009",447035,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","CHE","Switzerland","2000","2000",123434,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","CHE","Switzerland","2001","2001",121991,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","CHE","Switzerland","2002","2002",122472,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","CHE","Switzerland","2003","2003",125337,,
"BC32TE","32. Tier 1 Capital","ALL","All banks","CHE","Switzerland","2004","2004",129144,,
