oecd_code,bea_code
01T02,110C
03,113F
05T06,2110
07T08,2120
09,2130
10T12,311A
13T15,313T
13T15,315A
16,3210
17T18,3220
17T18,3230
19,3240
20,3250
21,3250
22,3260
23,3270
24,3310
25,3320
26,3340
27,3350
28,3330
29,336M
30,336O
31T33,338A
31T33,3370
35,2200
36T39,5620
41T43,2300
45T47,4200
45T47,44RT
49,4850
49,4860
49,4820
49,4840
50,4830
51,4810
52,4930
52,487S
55T56,7210
55T56,7220
58T60,5110
58T60,5120
58T60,5130
61,5130
62T63,5140
64T66,5210
64T66,5220
64T66,5230
64T66,5240
64T66,5250
68,5310
68,5320
69T75,5411
69T75,5415
69T75,5412
69T75,5500
77T82,5610
85,6100
86T88,6210
86T88,622H
86T88,6230
86T88,6240
90T93,711A
90T93,7130
94T96,8100
