,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01175832846,0.06855054623,0.02191003597,0.09539459374999999,0.09955620011,0.0357410218,0.029435040830000002,0.03251558851,0.02940146805,0.03124990498,0.02724768196,0.02684245578,0.02465668048,0.0225588343,0.0202434419,
1,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07544839098,0.08848490648,0.1266872008,0.1641242811,0.20980596680000002,0.2636284995,0.2840407583,0.3002878328,0.3568116131,0.36551522230000005,0.3599516518,0.36312872570000004,0.33263569390000003,0.3190646747,0.2944504426,0.25517285,0.2578810053,0.2863295767,0.2620366183
2,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2027264842,0.20895313980000002,0.2145003029,0.2382835559,0.2504155879,0.2376898286,0.21894198639999998,0.3228999306,0.5773750141,0.3921088491,0.32453039089999997,0.2611385569,0.23102646920000003,0.2045568962,0.1831296134,0.17837207830000001,0.1623616287,0.1570836781,0.1614508667,0.1656666798,0.1392865177,0.150928714,0.1479686685,0.1797937659,0.2241343822,0.2265469933,0.24160590429999998,0.1836347013
3,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3499346045,0.358174282,0.3667315703,0.38499886930000005,0.40636963309999996,0.4451039894,0.4738959983,0.47505569459999997,0.5163937132,0.6230414181,0.6913547192999999,0.7479356902000001,0.7424619982,0.7545767929,0.7346435162,0.7097481491000001,0.6453796752,0.6099318992,0.5984185701,0.5917778905,0.611884559,0.6263535551,0.6330378975,0.6868517328999999,0.6576774209,0.6468679715000001,0.6329525914,0.6362541996000001,0.6984203623999999,0.7418333882,0.7949113979000001,0.8245977948,0.7571791442999999,0.6840292014,0.6624237592,0.6752060251,0.708154791,0.7324376823000001,0.7832019687,0.7697571565,0.7277616876,0.7316998857999999,0.7222343696,0.7150212903000001,0.6540224965
4,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6516667875000001,0.6627778557,0.708617567,0.7195999319999999,0.7634022170999999,0.8255464256,0.8382450969,0.8272333421,0.8429478678,0.8125742991,0.8204506543,0.8386801203,0.8882166927999999,0.9048348339000001,0.9176060194,0.9305852111999999,0.9222303264,0.916808906,0.9552184525,0.917066116,0.9154664677,0.917966041,0.9203063229999999,0.9291639673000001,0.9303768252000001,0.9995766114,1.009618366
5,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00058883095,0.00128718418,0.00121124275,0.1648840724,0.1727413605,0.1867647517,,,,,,,0.269451021,0.2848382324,0.2941240711,0.3032191308,0.32279380609999997,0.3222141429,0.3142883203,0.3161232529,0.3144420088
6,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5519562333,0.5876812942,0.5791959123,0.5691623446,0.5441551442,0.5184207136,0.5007678017,0.5033964246,0.5285848183,0.5705984826,0.5720623153,0.5966166844,0.6726714703000001,0.7116606477,0.721684629,0.6856462808,0.7104784216,0.7729862874,0.8199583878,0.9417926093,1.054135332,1.130580513,1.098333059,1.1612049740000001,1.180038407,1.135635424,1.135543178,1.229940719,1.42222993,1.5210882230000002,1.375307044,1.454251426,1.5002447079999999,1.489602423,1.488421951,1.505617924,1.7049187950000002,1.5733423210000002,1.511579231,1.5111889429999998,1.547745724,1.503564761
7,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6367357219,0.38837833860000004,0.3311912191,0.35163414340000004,0.3669373303,0.3646612014,0.3335979778,0.3819689973,0.4221816672,0.3826308201,0.3343716001,0.32987573849999996,0.3516889747,0.306826215,0.3645005809,0.36921680180000005,0.3682270558,0.3906228935,0.4215098112,0.44990855500000004,0.4748911221,0.5386763303,0.4659175593,0.44513588149999994,0.4601687116,0.47035733970000004,0.5526818134,0.5435959947
8,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3567372336,0.5184855649,0.09988253163,0.1057632646,0.172639502,0.2511477382,0.28027842150000004,0.330661165,0.4080827643,0.5314274451,0.6583776504,0.8494782426,1.0923855070000001,1.208345628,1.202078969,1.163730013,1.097450946,1.096919442,1.123918464,1.131411283,0.9503273753000001,0.9028667228,0.8486300957,0.8320726881,0.7847179529999999,0.7748941867000001,0.7254640111
9,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05844777277,0.06326506535,0.06182184016,0.059228757720000004,0.06543963154,0.06146269285,0.06295541286,0.07161906478999999,0.07308232419,0.07463766686,0.08810390501000001,0.08427136594000001,0.09149954206000001,0.09799276026999999,0.10584077909999999,0.1084813654,0.102702107,0.10365968090000001,0.09480296177,,
