,01T02,03,05T06,07T08,09,10T12,13T15,16,17T18,19,20,21,22,23,24,25,26,27,28,29,30,31T33,35,36T39,41T43,45T47,49,50,51,52,53,55T56,58T60,61,62T63,64T66,68,69T75,77T82,84,85,86T88,90T93,94T96
01T02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05T06,5.1905313270716156e-05,5.1905313270716156e-05,8.685329739335006e-05,2.7974307446409352e-06,6.573582708951263e-05,0.0007037662454786197,0.00022754059062009245,8.932722263129546e-05,9.237030782499561e-05,9.375682462111269e-05,0.000140607891954357,0.0,0.0001285828268961979,0.00014053249381323533,0.0005155250119542843,0.0010817672359038598,1.7947019438906142e-05,8.371485220101702e-05,9.65468341304059e-05,0.0004226527895502824,4.2519111752336664e-05,9.082905932803898e-05,0.00029557197807300427,0.0,9.169053082749532e-05,9.448807495302737e-05,3.730982727757385e-05,3.730982727757385e-05,3.730982727757385e-05,3.730982727757385e-05,0.0,5.783918228265557e-05,9.51532645902614e-06,9.51532645902614e-06,9.51532645902614e-06,2.348318194151767e-06,4.8866554459583345e-05,1.5099568762771042e-05,0.00010376736213553984,0.0,4.222884056329681e-06,5.836150174181128e-06,3.3952346005878716e-05,3.431714449736141e-05
07T08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09,2.1235182670640613e-07,2.1235182670640613e-07,0.3635348547309515,0.825649762184407,0.12225412855918752,2.3794511820919607e-06,0.0,0.0,1.006223828128349e-06,0.0038959486119569454,0.00010865751536415608,0.0,4.1203504952396443e-07,0.0011181856920334096,0.00044685809900843666,0.00010729155599755426,3.8823782308937246e-05,4.463513706112903e-05,0.0005169332124962287,0.0,0.0,7.381511862303625e-05,0.002239098767634073,0.0,0.0008819141618279358,0.00014881834688902046,0.006843929115867482,0.006843929115867482,0.006843929115867482,0.006843929115867482,0.0,3.554039740302948e-06,0.0,0.0,0.0,4.81215029857326e-05,0.00018101252834598722,0.0002773945470149973,8.006722107764244e-05,0.0,0.0,0.0,0.0,8.03444283032508e-06
10T12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13T15,0.0025302862912651176,0.0025302862912651176,0.0011456686925114877,0.0001060133919080593,0.0011723776881607,0.0006807552502978557,0.0004890886835289399,0.001367452235410408,0.0006097178024686724,0.00021326066332383987,0.00024972831422926403,0.0,0.0002405866859157713,0.00044167204956923895,0.0004925948322727888,0.00022140775303121027,0.000441597766077392,0.0007550470096700744,0.0002865871711607926,0.0018487845917122435,0.0007475798032370726,0.0013388500305506242,0.00023398718625797094,0.0,0.0009482062666471046,0.0018906212417368698,0.0018909473669358194,0.0018909473669358194,0.0018909473669358194,0.0018909473669358194,0.0,0.0016438064783934774,0.00017753819459840085,0.00017753819459840085,0.00017753819459840085,0.0009662339830038556,0.0008600871258017159,0.00039377350394403693,0.0013571216943366027,0.0,0.001759198644702392,0.00040954442105374045,0.0036997804138853866,0.0011280463729897558
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004732908280840272,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17T18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.001482401854690905,0.001482401854690905,0.002272313921864031,0.0001834760408682827,0.0022296580129076427,0.012307139358393313,0.0034857291299528292,0.00277198488106009,0.0021983526070968006,0.002145409490442287,0.0026108776691536684,0.0,0.002198953695795346,0.0031747814232723466,0.009735201824730255,0.01980983816868219,0.00034700839862679346,0.00225815866294172,0.0021518828883054456,0.005523625482394056,0.0010283161421641624,0.0018352957446842633,0.007660408670811562,0.0,0.0021467358687000926,0.0021196051582330253,0.0009037658243944463,0.0009037658243944463,0.0009037658243944463,0.0009037658243944463,0.0,0.0028043615560767923,0.00016929839182838922,0.00016929839182838922,0.00016929839182838922,0.00010469958790326853,0.0007392559985671778,0.00034094385251998805,0.002731498084699861,0.0,7.942618968201771e-05,0.00011692176358733089,0.0008058007921502977,0.0007628435781570662
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,3.078084502954223e-05,3.078084502954223e-05,1.0729032743133485e-05,9.45054581323754e-07,9.47855803443913e-06,0.000612173767088116,0.0013888613823922445,0.0013420506173347023,0.0014250168308594568,0.0004998193012872812,0.00018653440355279497,0.0,0.0016988647180589242,0.0004415747508557278,0.00010097161598069059,2.4982781344791855e-05,0.00029043584510729173,0.00015693670296790396,6.065460894754974e-05,5.2867839362337204e-05,1.8992040282976492e-05,0.00015059648879942682,1.2161908789641012e-05,0.0,1.439181879100045e-05,7.909959390287661e-05,2.9107611039631156e-05,2.9107611039631156e-05,2.9107611039631156e-05,2.9107611039631156e-05,0.0,0.00010543873224105767,1.120303990174549e-05,1.120303990174549e-05,1.120303990174549e-05,2.356871417912664e-05,8.53450565260927e-05,4.1386318468070566e-05,3.5852668407813596e-05,0.0,2.7612335356018646e-05,8.91681254030282e-06,6.278118603165341e-05,5.72679992531855e-05
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.004000288660867467,0.004000288660867467,0.006140812203109427,0.00032790844931381935,0.005587545085016772,0.042328431407529635,0.013113476345765263,0.007414557634095384,0.007018426148757501,0.006399017689800473,0.008506267978308989,0.0,0.008385769350203309,0.00944051196416871,0.030448216946559657,0.06577787584085973,0.001214123346965133,0.006464488855998392,0.0063000834629237425,0.021674602719141196,0.003016106063469398,0.005743246808117245,0.021764729872034982,0.0,0.006006316937633189,0.006409397332297233,0.0025440073275252205,0.0025440073275252205,0.0025440073275252205,0.0025440073275252205,0.0,0.006582582420720982,0.0005655166244475169,0.0005655166244475169,0.0005655166244475169,0.00024152069493892203,0.002688515200837338,0.0010202765895007172,0.007704708156681211,0.0,0.000252075768656428,0.00036350849167353025,0.0022908938039477894,0.002348725027087588
