,01T02,03,05T06,07T08,09,10T12,13T15,16,17T18,19,20,21,22,23,24,25,26,27,28,29,30,31T33,35,36T39,41T43,45T47,49,50,51,52,53,55T56,58T60,61,62T63,64T66,68,69T75,77T82,84,85,86T88,90T93,94T96
01T02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05T06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07T08,4.97894429503949e-07,1.1803255212627276e-08,6.767687729428502e-08,8.493763494028661e-08,4.951822222835289e-08,3.4515334954528644e-06,1.6068545452474155e-08,5.584337610671877e-09,9.410698574865658e-08,3.2514487450844043e-07,7.218648592734197e-06,3.254084521703464e-06,1.1411886184160229e-07,7.594976411546294e-08,5.095135356852313e-07,1.8927448250231454e-06,1.3634420311082405e-06,4.2789111962649384e-08,3.721440246753406e-07,5.227699637159913e-06,2.1855753538987346e-07,1.0616727108574805e-07,1.834443337464078e-05,1.21180640497227e-07,8.817475150545895e-07,6.670266056130271e-06,1.4397710068601353e-07,1.0833638370798364e-08,2.1827549635076717e-08,2.2642632458588003e-08,0.0,1.5477668599493973e-07,2.226515990151582e-06,2.2082877091298365e-06,3.572537306422409e-08,1.182936154424739e-07,3.231296384892737e-06,1.143792468261503e-06,1.3254460552980891e-07,0.0,2.4730833169430073e-08,4.300961489799995e-08,1.1380936942104863e-07,2.4566376557506696e-07
09,0.0,2.9012642506257607e-10,0.04456701230529954,0.0004383024913490787,9.61573718341902e-05,1.0195152268525186e-08,0.0,0.0,5.997623761917339e-10,1.4792628662223183e-05,7.040980369782085e-06,3.1739937115081937e-06,3.384395757097615e-10,7.625426312541266e-07,3.5886131847007495e-07,2.123414721149105e-07,3.4647121478699123e-06,3.173106558809279e-08,2.599502355540412e-06,0.0,0.0,9.985616568025608e-08,0.00018560552165483276,3.4130435729820685e-08,1.0079139292514055e-05,1.2807632107441078e-05,4.133209218773305e-05,6.281977120795974e-08,0.0,1.6639036230907566e-07,0.0,1.2697244461159575e-08,0.0,0.0,0.0,2.755279896074485e-06,1.5381704080511345e-05,2.6188040743002075e-05,4.610384723755661e-07,0.0,0.0,0.0,0.0,6.743829590311543e-08
10T12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13T15,2.150263134206956e-05,2.5762054974225887e-07,3.2889493337376917e-06,9.277210420567527e-07,6.170038921744746e-07,2.99078867741934e-06,2.9161703704145912e-08,1.5318630315346034e-07,6.490975337511816e-07,7.52995044872174e-07,1.2435578777218144e-05,5.605817196601093e-06,2.282974016167604e-07,2.686771808411217e-07,4.6254661850809815e-07,3.736463744520666e-07,3.6883370254727566e-05,7.815277939822442e-07,1.3456353039432495e-06,2.0867360412311468e-05,3.8816766034546885e-06,1.4397261171306147e-06,3.166339429189492e-05,4.891598210894883e-07,1.0638418990208308e-05,0.00016226187692114613,7.165552749510226e-06,1.9240169642923123e-07,3.4915596344886377e-06,2.5575591069885217e-06,0.0,6.569616357837915e-06,4.64347517095468e-05,4.0396241461774096e-05,3.7397886127636713e-06,0.00012488625612693926,0.00023441730105199255,3.0073785567168307e-05,9.385792365453299e-06,0.0,1.0087563820248707e-05,8.508229987187893e-06,1.0007216835295097e-05,9.516918762267133e-06
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17T18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,4.9342847618281835e-06,1.2827745693151352e-07,9.168325729666432e-07,7.60469678572263e-07,4.756975121996818e-07,2.8498489084984413e-05,1.191451802998976e-07,7.383409891919185e-08,8.930354749172608e-07,2.5832787378290608e-06,5.643406527363727e-05,2.543983350132694e-05,9.58360996116089e-07,7.766030364402369e-07,4.020121421509574e-06,1.6442735212615936e-05,1.1059648264495375e-05,4.830735378439038e-07,3.4817849089515388e-06,3.764398472813841e-05,2.1264911498124662e-06,9.167707969001157e-07,0.0001714056597931298,1.2551755953847162e-06,8.735667452202732e-06,6.625152211853793e-05,1.279743583951014e-06,1.3096515449895258e-07,2.615344694451035e-07,2.580059909283786e-07,0.0,3.0553063392947124e-06,1.8344328288925903e-05,1.8004577178270448e-05,3.0420693155757313e-07,2.4376639078553796e-06,2.745275210391653e-05,1.0520766099153487e-05,1.4700561744930458e-06,0.0,1.9094183100656716e-07,4.658995078212945e-07,1.073294403647238e-06,2.4028495871388334e-06
21,4.9342847618281835e-06,1.2827745693151352e-07,9.168325729666432e-07,7.60469678572263e-07,4.756975121996818e-07,2.8498489084984413e-05,1.191451802998976e-07,7.383409891919185e-08,8.930354749172608e-07,2.5832787378290608e-06,5.643406527363727e-05,2.543983350132694e-05,9.58360996116089e-07,7.766030364402369e-07,4.020121421509574e-06,1.6442735212615936e-05,1.1059648264495375e-05,4.830735378439038e-07,3.4817849089515388e-06,3.764398472813841e-05,2.1264911498124662e-06,9.167707969001157e-07,0.0001714056597931298,1.2551755953847162e-06,8.735667452202732e-06,6.625152211853793e-05,1.279743583951014e-06,1.3096515449895258e-07,2.615344694451035e-07,2.580059909283786e-07,0.0,3.0553063392947124e-06,1.8344328288925903e-05,1.8004577178270448e-05,3.0420693155757313e-07,2.4376639078553796e-06,2.745275210391653e-05,1.0520766099153487e-05,1.4700561744930458e-06,0.0,1.9094183100656716e-07,4.658995078212945e-07,1.073294403647238e-06,2.4028495871388334e-06
22,3.487450023431049e-07,1.0267437192070086e-08,5.0334924171783466e-08,1.1285707440491944e-08,6.6411296653929326e-09,2.963471722070187e-06,9.351612641051414e-08,1.1753975897248644e-07,1.26225041742317e-06,1.6600725173568539e-06,9.599613999779392e-06,4.327396593657712e-06,1.6007072365858255e-06,2.414074733632645e-07,1.0454770565838324e-07,3.6554474655136233e-08,2.0137684031475763e-05,8.894616018924309e-08,2.575699057720043e-07,6.482601487724895e-07,1.2930415544655864e-07,1.8463189564808103e-07,7.063112152327295e-07,2.720216770015138e-08,1.9260721298834205e-07,7.831973959648387e-06,1.2836118811978204e-07,2.7329427106048814e-09,1.4270584139576385e-07,5.460786408452559e-08,0.0,5.456023291206591e-07,1.6180411777397401e-06,1.00813601917189e-06,2.9001379457005687e-07,3.681978771961827e-06,2.0572129330526837e-05,3.5487221964253855e-06,3.236457661376141e-07,0.0,2.2655650177337978e-07,2.5774119365871493e-07,2.5604081662712313e-07,5.262445132041565e-07
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
