,NAICS2012Code,NAICS2012Part,ISIC4Code,ISIC4Part,Detail
0,111419,-1,0322,-1,seaweed grown under cover
1,111998,-1,1072,-1,maple sugars and syrups produced in a separate central facility
2,112511,-1,0321,-1,saltwater finfish farming and hatcheries
3,112511,-1,0322,-1,freshwater finfish farming and hatcheries
4,112512,-1,0321,-1,saltwater shellfish farming including production of cultured pearls
5,112512,-1,0322,-1,freshwater shellfish farming
6,112519,-1,0321,-1,"saltwater alligator, frog, algae, seaweed, turtle, worm, snake, and other animal aquaculture n.e.c."
7,112519,-1,0322,-1,"freshwater alligator, frog, algae, seaweed, turtle, worm, snake and other animal aquaculture n.e.c."
8,113110,0,0210,-1,operating timber tracts
9,113210,-1,0210,-1,except gathering forest products in the wild
10,113210,-1,0230,-1,gathering forest products in the wild
11,113310,-1,0220,0,except separate log hauling in the forest and production of wood chips in the forest
12,113310,-1,0240,-1,separate log hauling in the forest without logging
13,114210,0,0170,0,
14,115111,0,0163,-1,
15,115112,0,0161,-1,
16,115113,0,0161,-1,
17,115114,-1,0163,-1,except seed processing
18,115114,-1,0164,0,seed processing
19,115115,0,0161,-1,
20,115116,-1,0161,-1,crop farm management services - running a farm on a contract or fee basis
21,115116,-1,0162,-1,animal farm management services - running a farm on a contract or fee basis
22,115210,-1,0162,-1,except vaccinating livestock not performed by veterinarians
23,115310,0,0240,-1,
29,113310,-1,1610,-1,"production of wood chips in the forest, portable chipper mills"
40,115210,-1,7500,-1,vaccinating livestock not performed by veterinarians
49,311710,-1,0311,-1,"gathering & processing of seafood into fresh, frozen, or canned seafood in factory ships (i.e. factory ships that also fish)"
50,212111,0,0520,-1,
51,212112,0,0520,-1,
52,212113,0,0510,-1,
56,311942,-1,0893,-1,mining and processing of table salt
57,213113,-1,4312,-1,overburden removal for coal mining
58,213114,-1,4312,-1,"overburden removal for ferrous metal mining, performed on a contract or fee basis"
59,213115,-1,4312,-1,"overburden removal for nonmetallic mining, performed on a contract or fee basis"
60,488999,-1,0910,-1,liquefaction of natural gas at the mine site
61,311213,0,1103,-1,
64,312111,0,1104,-1,
65,312112,0,1104,-1,
66,312113,0,3530,-1,
67,312120,0,1103,-1,
68,312130,-1,1101,-1,brandies and fruit spirits
69,312130,-1,1102,0,except brandies and fruit spirits
70,312140,-1,1101,-1,except potable ethyl alcohol
71,312140,-1,2011,-1,manufacture of potable ethyl alcohol
73,313210,-1,1420,-1,artificial fur on woven base
74,313240,-1,1420,-1,artificial fur on knit base
75,313320,-1,2219,-1,rubberized fabric
76,314120,-1,2220,-1,plastics shower curtains and table cloths made from purchased materials
77,314910,-1,2220,-1,plastics blanket bags - heat seamed
78,314999,-1,1410,-1,cloth diapers
79,315990,-1,1399,-1,"hat, cap, apparel, umbrella, and similar trimmings made from purchased fabrics"
80,316110,0,1511,0,
81,316210,0,1520,-1,
82,316992,0,1512,-1,
83,316998,-1,1512,-1,"except leather garments and leather footwear cut stock (uppers, soles, etc.)"
84,316998,-1,1520,-1,"footwear cut stock (uppers, soles, etc.)"
85,322220,-1,1399,-1,pressure-sensitive cloth tape
86,323113,-1,1313,-1,"screen printing on made up textile products, including apparel"
87,335129,-1,1399,-1,incandescent mantles
88,336360,-1,1392,-1,"automobile motor vehicle interior systems (headliners, panels ), seat belts, tire covers and seat covers made from purchased fabrics"
89,336360,-1,1399,-1,automotive trimmings
90,337920,-1,1392,-1,"except wooden blinds and drapery rods, plastics shades and drapery rods, metal drapery rods, and metal shades and blinds"
