	0-4	5-9	10-19	20-49	50-99	100-249	250	Total
Agriculture, forestry & fishing	18,615	3,775	1,625	910	255	120	70	25,370
Production	84,745	22,530	15,735	12,715	5,350	3,240	1,525	145,840
Construction	258,305	30,635	13,875	6,335	1,945	890	220	312,205
Motor trades	43,660	12,860	5,965	4,000	1,075	310	35	67,905
Wholesale	69,495	20,075	13,005	7,620	2,230	945	365	113,735
Retail	139,145	52,260	31,845	16,795	3,445	2,285	1,170	246,945
Transport & Storage (inc. postal)	79,035	11,130	6,835	5,265	2,395	1,460	735	106,855
Accommodation & food services	77,535	38,850	29,850	20,680	3,890	1,575	245	172,625
Information & communication	165,550	12,665	8,080	5,600	2,125	1,025	580	195,625
Finance & insurance	38,750	8,110	4,540	2,525	970	675	660	56,230
Property	76,130	12,470	5,450	1,440	345	245	110	96,190
Professional, scientific & technical	323,580	29,925	17,895	10,370	3,290	1,840	930	387,830
Business administration & support services	161,270	25,300	14,890	9,150	3,960	2,545	1,410	218,525
Public administration & defence	65	55	30	50	30	5	5	240
Education	24,800	3,995	2,975	1,875	510	245	90	34,490
Health	44,290	10,935	11,695	9,950	4,255	1,290	265	82,680
Arts, entertainment, recreation & other services	89,160	19,110	7,700	3,890	1,205	545	195	121,805
Total	1,694,130	314,680	191,990	119,170	37,275	19,240	8,610	2,385,095
