Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AUS,1.349,1.278,1.347,1.592,1.55,1.725,1.933,1.841,1.542,1.36,1.309,1.328,1.195,1.192,1.282,1.09,0.969,0.966,1.036,1.109,1.331,1.345,1.305,1.338
AUT,0.733,0.769,0.887,0.9,0.938,1.083,1.117,1.058,0.884,0.804,0.804,0.796,0.73,0.68,0.717,0.754,0.718,0.778,0.753,0.753,0.901,0.903,0.885,0.847
BEL,0.731,0.768,0.887,0.9,0.938,1.083,1.117,1.058,0.884,0.804,0.804,0.796,0.73,0.68,0.717,0.754,0.718,0.778,0.753,0.753,0.901,0.903,0.885,0.847
CAN,1.372,1.364,1.385,1.484,1.486,1.485,1.549,1.57,1.401,1.301,1.211,1.134,1.074,1.067,1.142,1.03,0.989,0.999,1.03,1.105,1.279,1.326,1.298,1.296
CHL,396.773,412.267,419.295,460.288,508.777,539.588,634.938,688.937,691.398,609.529,559.768,530.275,522.464,522.461,560.86,510.249,483.668,486.471,495.273,570.348,654.124,676.958,648.834,641.277
COL,912.826,1036.686,1140.963,1426.037,1756.231,2087.904,2299.633,2504.241,2877.652,2628.613,2320.834,2361.139,2078.292,1967.711,2158.256,1898.57,1848.139,1796.896,1868.785,2001.781,2741.881,3054.122,2951.327,2955.704
CRI,179.729,207.689,232.598,257.229,285.685,308.187,328.871,359.818,398.662,437.935,477.787,511.302,516.617,526.236,573.288,525.829,505.664,502.901,499.767,538.317,534.566,544.739,567.513,576.973
CZE,26.541,27.145,31.698,32.281,34.569,38.598,38.035,32.739,28.209,25.7,23.957,22.596,20.294,17.072,19.063,19.098,17.696,19.578,19.571,20.758,24.599,24.44,23.376,21.73
DNK,5.602,5.799,6.604,6.701,6.976,8.083,8.323,7.895,6.588,5.991,5.997,5.947,5.444,5.098,5.361,5.624,5.369,5.792,5.616,5.612,6.728,6.732,6.603,6.315
EST,0.733,0.769,0.887,0.9,0.938,1.084,1.117,1.062,0.886,0.805,0.804,0.797,0.731,0.683,0.719,0.755,0.718,0.778,0.753,0.753,0.901,0.903,0.885,0.847
FIN,0.734,0.773,0.873,0.899,0.938,1.083,1.117,1.058,0.884,0.804,0.804,0.796,0.73,0.68,0.717,0.754,0.718,0.778,0.753,0.753,0.901,0.903,0.885,0.847
FRA,0.761,0.78,0.89,0.899,0.938,1.083,1.117,1.058,0.884,0.804,0.804,0.796,0.73,0.68,0.717,0.754,0.718,0.778,0.753,0.753,0.901,0.903,0.885,0.847
DEU,0.733,0.769,0.887,0.9,0.938,1.083,1.117,1.058,0.884,0.804,0.804,0.796,0.73,0.68,0.717,0.754,0.718,0.778,0.753,0.753,0.901,0.903,0.885,0.847
GRC,0.68,0.706,0.801,0.867,0.897,1.072,1.117,1.058,0.884,0.804,0.804,0.796,0.73,0.68,0.717,0.754,0.718,0.778,0.753,0.753,0.901,0.903,0.885,0.847
HUN,125.681,152.647,186.789,214.402,237.146,282.179,286.49,257.887,224.307,202.746,199.583,210.39,183.626,172.113,202.342,207.944,201.055,225.104,223.695,232.602,279.333,281.523,274.433,270.212
ISL,64.692,66.5,70.904,70.958,72.335,78.616,97.425,91.662,76.709,70.192,62.982,70.18,64.055,87.948,123.638,122.242,115.954,125.083,122.179,116.767,131.919,120.812,106.84,108.3
IRL,0.792,0.794,0.838,0.892,0.938,1.083,1.117,1.058,0.884,0.804,0.804,0.796,0.73,0.68,0.717,0.754,0.718,0.778,0.753,0.753,0.901,0.903,0.885,0.847
ISR,3.011,3.192,3.449,3.8,4.14,4.077,4.206,4.738,4.554,4.482,4.488,4.456,4.108,3.588,3.932,3.739,3.578,3.856,3.611,3.578,3.887,3.841,3.6,3.591
ITA,0.841,0.797,0.88,0.897,0.938,1.083,1.117,1.058,0.884,0.804,0.804,0.796,0.73,0.68,0.717,0.754,0.718,0.778,0.753,0.753,0.901,0.903,0.885,0.847
JPN,94.06,108.779,120.991,130.905,113.907,107.765,121.529,125.388,115.933,108.193,110.218,116.299,117.754,103.359,93.57,87.78,79.807,79.79,97.596,105.945,121.044,108.793,112.166,110.423
KOR,771.273,804.453,951.289,1401.437,1188.817,1130.958,1290.995,1251.088,1191.614,1145.319,1024.117,954.791,929.257,1102.047,1276.93,1156.061,1108.292,1126.471,1094.853,1052.961,1131.158,1160.433,1130.425,1100.5
LVA,0.751,0.784,0.827,0.839,0.833,0.863,0.893,0.88,0.813,0.769,0.804,0.797,0.731,0.684,0.719,0.755,0.713,0.778,0.753,0.753,0.901,0.903,0.885,0.847
LTU,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.065,0.886,0.805,0.803,0.797,0.731,0.683,0.719,0.755,0.719,0.778,0.753,0.753,0.901,0.903,0.885,0.847
LUX,0.731,0.768,0.887,0.9,0.938,1.083,1.117,1.058,0.884,0.804,0.804,0.796,0.73,0.68,0.717,0.754,0.718,0.778,0.753,0.753,0.901,0.903,0.885,0.847
MEX,6.419,7.599,7.918,9.136,9.56,9.456,9.342,9.656,10.789,11.286,10.898,10.899,10.928,11.13,13.513,12.636,12.423,13.169,12.772,13.292,15.848,18.664,18.927,19.244
NLD,0.729,0.765,0.885,0.9,0.939,1.085,1.118,1.063,0.886,0.805,0.804,0.797,0.731,0.683,0.72,0.755,0.719,0.778,0.753,0.754,0.902,0.904,0.887,0.847
NZL,1.524,1.455,1.512,1.868,1.89,2.201,2.379,2.162,1.722,1.509,1.42,1.542,1.361,1.423,1.601,1.388,1.266,1.234,1.219,1.205,1.434,1.437,1.407,1.445
