Country	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Afghanistan	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	1.175832846	6.855054623	2.191003597	9.539459375	9.955620011	3.57410218	2.943504083	3.251558851	2.940146805	3.124990498	2.724768196	2.684245578	2.465668048	2.25588343	2.02434419	no data
Albania	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	7.544839098	8.848490648	12.66872008	16.41242811	20.98059668	26.36284995	28.40407583	30.02878328	35.68116131	36.55152223	35.99516518	36.31287257	33.26356939	31.90646747	29.44504426	25.517285	25.78810053	28.63295767	26.20366183
Argentina	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	20.27264842	20.89531398	21.45003029	23.82835559	25.04155879	23.76898286	21.89419864	32.28999306	57.73750141	39.21088491	32.45303909	26.11385569	23.10264692	20.45568962	18.31296134	17.83720783	16.23616287	15.70836781	16.14508667	16.56666798	13.92865177	15.0928714	14.79686685	17.97937659	22.41343822	22.65469933	24.16059043	18.36347013
Australia	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	34.99346045	35.8174282	36.67315703	38.49988693	40.63696331	44.51039894	47.38959983	47.50556946	51.63937132	62.30414181	69.13547193	74.79356902	74.24619982	75.45767929	73.46435162	70.97481491	64.53796752	60.99318992	59.84185701	59.17778905	61.1884559	62.63535551	63.30378975	68.68517329	65.76774209	64.68679715	63.29525914	63.62541996	69.84203624	74.18333882	79.49113979	82.45977948	75.71791443	68.40292014	66.24237592	67.52060251	70.8154791	73.24376823	78.32019687	76.97571565	72.77616876	73.16998858	72.22343696	71.50212903	65.40224965
Austria	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	65.16667875	66.27778557	70.8617567	71.9599932	76.34022171	82.55464256	83.82450969	82.72333421	84.29478678	81.25742991	82.04506543	83.86801203	88.82166928	90.48348339	91.76060194	93.05852112	92.22303264	91.6808906	95.52184525	91.7066116	91.54664677	91.7966041	92.0306323	92.91639673	93.03768252	99.95766114	100.9618366
Bangladesh	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	0.058883095	0.128718418	0.121124275	16.48840724	17.27413605	18.67647517	no data	no data	no data	no data	no data	no data	26.9451021	28.48382324	29.41240711	30.32191308	32.27938061	32.22141429	31.42883203	31.61232529	31.44420088
Belgium	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	55.19562333	58.76812942	57.91959123	56.91623446	54.41551442	51.84207136	50.07678017	50.33964246	52.85848183	57.05984826	57.20623153	59.66166844	67.26714703	71.16606477	72.1684629	68.56462808	71.04784216	77.29862874	81.99583878	94.17926093	105.4135332	113.0580513	109.8333059	116.1204974	118.0038407	113.5635424	113.5543178	122.9940719	142.222993	152.1088223	137.5307044	145.4251426	150.0244708	148.9602423	148.8421951	150.5617924	170.4918795	157.3342321	151.1579231	151.1188943	154.7745724	150.3564761
Brazil	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	63.67357219	38.83783386	33.11912191	35.16341434	36.69373303	36.46612014	33.35979778	38.19689973	42.21816672	38.26308201	33.43716001	32.98757385	35.16889747	30.6826215	36.45005809	36.92168018	36.82270558	39.06228935	42.15098112	44.9908555	47.48911221	53.86763303	46.59175593	44.51358815	46.01687116	47.03573397	55.26818134	54.35959947
Bulgaria	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	35.67372336	51.84855649	9.988253163	10.57632646	17.2639502	25.11477382	28.02784215	33.0661165	40.80827643	53.14274451	65.83776504	84.94782426	109.2385507	120.8345628	120.2078969	116.3730013	109.7450946	109.6919442	112.3918464	113.1411283	95.03273753	90.28667228	84.86300957	83.20726881	78.4717953	77.48941867	72.54640111
Cameroon	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	5.844777277	6.326506535	6.182184016	5.922875772	6.543963154	6.146269285	6.295541286	7.161906479	7.308232419	7.463766686	8.810390501	8.427136594	9.149954206	9.799276027	10.58407791	10.84813654	10.2702107	10.36596809	9.480296177	no data	no data
