,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Oilseed farming,"19,517","17,032","13,577","13,957","13,521","14,257","17,636","18,651","17,533","17,845","24,543","27,745","34,282","33,443","34,386","42,373","48,874","40,796","34,269","41,835","39,020","36,984","32,811","41,779","53,408"
Grain farming,"35,182","29,226","25,580","26,278","26,854","27,647","31,263","38,630","30,770","37,554","51,849","69,439","57,993","58,299","79,252","84,053","85,412","72,393","61,779","58,134","56,732","59,500","57,774","60,655","87,783"
Vegetable and melon farming,"14,760","14,784","14,492","15,257","15,508","15,586","16,854","17,409","16,594","17,019","18,744","16,594","16,343","15,168","16,994","14,376","20,964","17,767","19,369","18,039","18,954","16,709","15,737","16,844","16,720"
Fruit and tree nut farming,"13,617","12,406","12,216","12,533","12,317","12,723","13,951","16,460","17,300","17,170","18,979","18,964","18,771","20,592","24,385","26,489","31,868","31,855","28,273","29,070","29,984","28,313","27,549","27,524","25,767"
"Greenhouse, nursery, and floriculture production","13,405","13,683","14,280","14,502","14,998","15,718","16,343","17,254","17,487","17,975","18,600","21,120","20,473","20,688","21,268","22,026","22,027","21,338","22,063","22,663","22,524","23,313","23,635","24,242","25,492"
Other crop farming,"20,816","19,668","16,875","15,915","14,894","14,690","17,346","19,461","17,715","18,069","21,180","23,076","20,069","23,075","26,642","27,643","28,810","26,168","22,727","23,015","24,802","24,909","23,493","26,482","30,274"
Dairy cattle and milk production,"21,453","24,601","23,662","21,031","25,145","21,055","21,850","28,100","27,381","24,143","36,200","35,599","25,141","32,170","40,433","38,013","41,346","50,406","36,799","35,417","38,953","36,128","41,480","41,482","42,941"
"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming","41,305","37,256","39,343","44,353","45,407","41,575","48,524","54,685","56,216","56,012","57,358","55,662","50,399","58,114","71,891","78,171","79,803","93,735","91,650","80,515","88,115","90,262","93,506","89,364","102,304"
Poultry and egg production,"22,502","23,251","23,078","22,016","24,876","21,351","23,987","30,226","29,725","27,297","33,519","36,090","32,044","34,982","35,653","38,743","44,538","49,589","50,361","40,117","43,825","47,069","40,352","36,062","47,862"
"Animal production, except cattle and poultry and eggs","16,822","15,914","16,846","18,472","18,814","17,764","20,119","22,301","22,832","23,159","23,821","23,570","22,167","24,389","29,413","32,280","33,292","37,620","35,617","30,872","32,472","31,915","31,553","29,961","34,086"
Forestry and logging,"19,361","22,282","25,480","20,586","19,958","21,010","21,274","23,793","24,441","24,647","19,126","17,032","15,160","18,100","19,057","15,881","18,126","22,068","21,437","21,520","23,248","23,214","18,358","21,075","25,210"
"Fishing, hunting and trapping","6,343","6,372","6,265","6,111","6,082","5,712","6,705","7,292","6,823","6,754","6,951","7,858","7,848","8,891","10,048","8,492","9,165","9,123","8,667","9,782","11,343","10,479","10,651","9,155","9,200"
Support activities for agriculture and forestry,"12,797","13,288","13,620","12,586","12,982","12,787","13,447","14,293","15,373","16,391","18,482","19,897","18,294","18,666","20,071","22,530","22,021","24,559","23,422","21,273","22,415","22,535","22,123","23,154","24,997"
Oil and gas extraction,"98,509","72,745","85,524","142,988","142,309","116,721","165,982","191,027","249,252","257,413","276,911","388,364","227,565","304,701","372,942","362,652","426,372","476,039","268,953","230,486","305,097","410,045","375,173","255,273","455,730"
Coal mining,"26,331","26,030","23,113","23,375","24,566","23,627","24,275","27,931","34,533","39,710","42,771","50,876","48,547","50,619","60,115","54,437","49,275","47,239","40,135","31,613","35,384","37,141","35,648","25,167","25,526"
"Copper, nickel, lead, and zinc mining","4,854","3,863","3,572","3,935","3,346","2,952","3,266","5,004","6,738","11,913","12,977","13,043","9,781","12,499","14,538","14,009","13,309","13,906","11,643","10,821","11,958","12,325","11,661","11,650","16,010"
"Iron, gold, silver, and other metal ore mining","7,071","6,784","6,024","6,417","5,668","6,130","6,927","9,534","13,583","14,163","14,519","16,513","14,670","19,087","22,546","22,382","18,026","16,608","14,089","14,381","15,463","16,151","15,735","17,106","17,945"
Stone mining and quarrying,"8,202","8,398","8,853","9,450","10,317","10,829","11,220","12,489","15,819","20,336","19,242","18,818","16,205","15,745","16,135","16,251","16,130","17,485","19,415","20,802","21,824","22,775","27,232","24,560","28,876"
Other nonmetallic mineral mining and quarrying,"9,786","10,298","11,487","11,499","11,197","10,904","11,707","12,353","13,602","14,702","14,989","16,912","15,730","14,743","17,544","17,586","17,813","22,072","20,908","18,513","20,875","22,920","21,633","19,547","20,606"
Drilling oil and gas wells,"7,864","8,523","5,579","7,980","10,379","8,364","10,636","19,335","28,953","37,897","40,354","45,242","26,376","28,573","26,914","32,686","30,261","39,715","32,318","17,375","25,623","25,896","26,417","14,450","15,553"
Other support activities for mining,"14,256","14,896","11,963","12,908","18,826","16,466","18,898","22,393","32,007","49,024","54,561","64,791","46,016","54,123","71,051","93,482","92,249","112,924","88,512","44,419","62,121","79,922","81,315","48,570","48,266"
Hydroelectric power generation,"3,501","3,151","3,730","4,111","4,701","3,081","2,735","2,496","2,676","2,571","2,563","2,914","2,589","3,618","3,561","2,796","2,907","3,124","3,124","3,014","3,063","3,321","3,309","3,105","3,759"
Fossil fuel electric power generation,"63,153","67,494","79,223","86,616","98,832","65,303","65,527","67,150","80,676","86,748","96,551","106,462","91,420","101,991","96,918","92,396","96,172","103,380","103,566","99,763","101,294","109,690","109,370","102,766","124,353"
Nuclear electric power generation,"16,147","14,760","17,277","18,908","21,683","14,864","16,835","18,918","24,456","28,054","32,925","36,619","31,738","35,859","34,336","32,872","34,211","36,767","36,820","35,432","36,008","38,978","38,895","36,525","44,223"
Solar electric power generation,672,608,719,789,904,597,502,429,428,396,362,450,456,586,622,637,664,715,749,743,762,842,850,822,976
Wind electric power generation,"7,509","6,788","8,020","8,820","10,131","6,637","5,592","4,801","4,801","4,271","3,838","4,732","4,559","5,595","5,789","5,901","6,146","6,604","6,621","6,367","6,463","7,041","7,068","6,637","8,026"
Geothermal electric power generation,"1,496","1,353","1,598","1,756","2,014","1,323","1,115",955,952,861,778,958,943,"1,180","1,235","1,261","1,314","1,412","1,416","1,362","1,385","1,500","1,500","1,408","1,706"
Biomass electric power generation,"1,189","1,073","1,245","1,351","1,530","1,005",847,724,719,652,588,727,722,908,954,974,"1,015","1,092","1,101","1,054","1,076","1,162","1,160","1,088","1,318"
Other electric power generation,100,91,108,117,132,92,78,65,64,58,52,95,117,171,194,200,209,226,228,221,226,252,256,242,293
Electric bulk power transmission and control,"1,804","1,824","2,170","2,486","3,088","2,613","2,961","3,322","4,209","4,858","5,645","7,593","7,819","10,039","10,775","11,368","11,841","12,718","12,770","12,284","12,492","13,527","13,494","12,673","15,343"
Electric power distribution,"105,429","112,482","138,258","160,552","197,598","140,780","136,737","135,106","157,741","161,119","173,916","207,068","184,008","219,358","221,028","218,543","229,519","248,493","246,810","237,324","242,083","263,321","263,206","247,523","302,549"
Natural gas distribution,"55,234","52,321","55,913","80,875","98,634","81,183","102,087","109,228","130,376","122,421","123,866","146,061","100,364","102,927","96,581","81,645","94,382","108,943","86,048","86,354","91,301","102,197","103,653","101,261","123,722"
"Water, sewage and other systems","5,746","6,123","6,525","6,869","7,232","7,673","8,137","8,557","9,086","9,944","10,509","11,217","11,716","12,254","12,897","12,892","13,284","14,168","14,508","14,720","15,116","15,668","16,063","16,585","17,690"
Health care structures,"22,331","22,851","23,779","25,321","25,370","28,426","31,035","33,232","35,787","40,790","45,283","48,384","47,457","41,961","40,939","43,893","40,655","39,057","40,117","42,530","44,224","45,130","49,322","52,757","51,994"
