,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,,F010,F02S,F02E,F02N,F02R,F030,F040,F050,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N,,
,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in structures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Change in private inventories,Exports of goods and services,Imports of goods and services,Federal national defense: Consumption expenditures,Federal national defense: Gross investment in structures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Federal national nondefense: Consumption expenditures,Federal national nondefense: Gross investment in structures,Federal national nondefense: Gross investment in equipment,Federal national nondefense: Gross investment in intellectual property products,State and local: Consumption expenditures,State and local: Gross investment in structures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,Total Final Uses (GDP),Total Commodity Output
111CA,Farms,82371,319,---,45,19,---,2876,---,---,---,---,---,---,---,---,---,---,98,248140,1816,---,---,---,---,7642,---,15,192,135,3,246,---,---,---,---,---,---,102,---,---,---,---,---,0,---,---,---,3,2,---,1,0,1191,50,712,---,131,---,---,---,---,---,534,38,2802,17,5,444,---,1967,---,351916,103616,---,---,---,---,-5724,61882,-50950,---,---,---,---,---,---,---,---,---,---,---,---,108824,460740
113FF,"Forestry, fishing, and related activities",24562,8909,---,66,---,---,---,14642,1,---,---,---,---,---,---,---,69,241,7778,---,247,6884,53,23,422,1911,---,---,1096,---,---,---,---,---,---,---,---,15,---,---,---,---,---,---,---,---,---,---,---,---,---,---,349,20,4,---,91,---,---,---,---,---,273,468,6157,231,---,---,19,3756,---,78289,9721,---,---,---,---,-422,5590,-23339,---,---,---,---,---,---,---,---,---,---,---,---,-8450,69838
211,Oil and gas extraction,---,---,50693,7,1,32311,---,1,0,16,0,0,---,---,0,---,---,---,1,---,---,1,0,335865,3645,2,30,6,5,2,19,---,---,---,---,---,11,---,2,1,0,1,---,---,---,---,---,---,---,---,---,0,10,39,3,4,3,3,12,2,2,1,10,33,92,5,---,---,608,---,19082,442530,---,---,---,---,---,1031,89297,-146612,---,---,---,---,---,---,---,---,---,---,---,---,-56285,386246
212,"Mining, except oil and gas",1604,0,58,7199,33,6298,22110,1,7286,11499,676,153,1,119,60,60,11,156,466,18,---,359,---,1349,3804,26,22,---,---,---,5,---,141,---,5,0,---,4,1,40,29,224,1077,---,---,---,---,452,---,---,---,---,1300,34,700,94,396,---,27,36,13,234,420,57,272,737,---,599,---,1712,3362,75340,29,---,40,---,---,-500,13609,-3082,---,---,---,---,---,---,---,---,---,---,---,---,10096,85436
213,Support activities for mining,---,---,8699,1676,1042,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,67,4,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,11487,---,78012,1917,---,---,-10,1822,-1610,---,---,---,---,---,---,---,---,---,---,---,---,80131,91619
22,Utilities,4982,111,7852,2811,89,42391,7645,1022,3271,4579,3526,1720,417,585,2605,556,447,834,7930,953,127,4110,1287,7625,12034,4250,22971,4170,11926,7260,27683,63,125,93,2733,83,1134,1178,15215,508,335,3435,3101,1647,993,783,1852,20,142119,2271,536,253,4834,12880,3347,538,5262,2288,9466,1582,1176,428,1379,5902,32635,3847,1719,1288,880,30381,3017,499094,306712,---,---,---,---,---,3573,-2861,---,---,---,---,---,---,---,---,---,---,---,---,307425,806518
23,Construction,1657,29,1280,1292,664,8097,275,97,301,335,421,284,41,76,383,81,56,118,874,64,17,481,154,7284,1020,369,2351,546,578,587,3675,252,2647,0,358,265,515,2321,835,42,20,2402,282,3322,1702,642,260,77838,100437,363,97,21,782,612,500,31,124,187,647,140,197,63,230,654,2096,3526,7659,3205,650,33778,61375,344569,---,499971,---,---,839808,---,115,---,---,11093,---,---,---,13791,---,---,---,342308,---,---,1707085,2051653
321,Wood products,480,49,---,413,232,---,61701,31022,397,551,397,717,536,773,3801,321,9091,1983,507,64,15,7670,5,---,421,1903,6136,123,1094,162,2118,---,3381,---,140,---,2,118,392,69,137,1241,2166,57,6,12,---,1218,8907,445,19,15,940,7,665,25,37,364,345,4,817,9,147,704,1593,585,5,18,1,5143,187,162604,6657,70,---,---,10926,219,5270,-36420,---,---,---,---,---,---,27,---,---,---,---,---,-13252,149353
327,Nonmetallic mineral products,7,11,1941,392,587,82,80665,710,15768,1814,1197,1575,153,1477,8932,370,329,743,4994,182,---,306,2,1407,1639,1701,100,358,88,1,1390,---,20,---,38,---,0,51,289,4,5,2388,1210,26,55,16,---,1506,104,370,3,64,4310,55,1109,250,57,1852,1853,129,312,11,64,104,3003,1493,24,351,---,1486,2129,153660,13890,---,---,---,---,409,7579,-32417,---,---,---,---,---,---,---,---,---,---,---,---,-10539,143121
